;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
2011;4.13;4.15;4.15;4.3;4.29;4.27;4.34;4.43;4.43;4.48;4.62;4.73
2012;4.78;4.71;4.92;5.07;5.9;5.93;6.29;6.35;6.28;6.32;6.42;6.78
2013;7.89;7.82;8.38;9.37;8.75;8;8.48;9.2;9.43;9.87;9.53;9.95
2014;11.15;11.2;10.7;10.45;11.3;12.05;12.6;13.95;15.6;14.18;13;13.7
2015;13.5;12.93;12.52;12.6;12.55;13.3;14.79;15.32;15.84;15.6;14.59;14.17
2016;13.87;15.21;14.86;14.26;14.11;14.65;15.07;15.01;15.31;15.16;15.75;16.47
2017;16.24;15.88;15.58;15.59;15.99;16.44;17.65;17.83;17.51;17.7;17.56;18.88
2018;19.55;19.95;20.36;20.6;25.17;28.4;27.45;36;39.3;34.5;36;38.5
2019;35.5;38.8;42.65;45;44.5;42.3;43.7;60;58.25;66;66.25;73.5
2020;74;74.5;78.5;108;115;116;131;131;140;163;149;160
2021;148;141;136;145;152;163;175.5;176.5;182;193.5;197.5;204
2022;209;207;196;196.5;201;234;286;285;284;286;310;342
2023;;;;;;;;;;;;
