;;;;;;;;;;;;;;
;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;;
2011;3.99;4.02;4.04;4.07;4.09;4.1;4.14;4.21;4.2;4.24;4.27;4.29;;
2012;4.32;4.34;4.36;4.4;4.46;4.51;4.57;4.62;4.68;4.75;4.82;4.89;;
2013;4.96;5.02;5.1;5.16;5.26;5.36;5.48;5.64;5.77;5.9;6.1;6.49;;
2014;7.87;7.8;7.93;7.93;8.01;8.06;8.12;8.3;8.31;8.4;8.43;8.46;;
2015;8.55;8.63;8.72;8.81;8.9;8.99;9.1;9.2;9.33;9.46;9.6;12.9;;
2016;13.58;15.5;14.4;14.1;13.8;14.8;14.8;14.7;15.1;15;15.7;15.7;;
2017;15.7;15.3;15.2;15.2;15.9;16.4;17.45;17.1;17.1;17.45;17.1;18.4;;
2018;19.4;19.85;19.9;20.3;24.4;28.4;26.9;36.2;40.3;35;36.8;36.8;;
2019;36.4;38.3;42.3;43.2;43.8;41.5;42.9;57;55.5;58.22;57.75;58;;
2020;58;59;60.75;63.75;65.5;68.5;71.25;73;75;77.5;80.5;83.25;;
2021;86.25;88.75;91.5;92.5;93.75;94.75;95.75;96.75;98;99;100;101.75;;
2022;104.25;106.5;110;114.25;119.25;124;129.25;137;145.25;154.5;166.25;175.25;;
2023;186;196;207.5;;;;;;;;;;;
